WARNING: unknown options '-m tpr2.8.pp'
Nr.	Sequence	Len	Score	P-value	E-value	Probab	#	Description	pos:score ...
1  	AKI79640.1	 342	 121.0	 3.8E-37	 3.8E-35 	100.00%	 8	putative TPR repeat-containing protein [Acanthamoeba polyphaga mimivirus]	    2: 6.6e-03   36: 4.3e-03   77: 3.4e-06  119: 2.7e-08  161: 1.6e-10  203: 7.4e-08  245: 6.1e-08  291: 1.0e-03
2  	BAV61990.1	 342	 119.9	 7.9E-37	 7.8E-35 	100.00%	 8	putative TPR repeat-containing protein [Acanthamoeba castellanii mimivirus]	    2: 6.6e-03   36: 4.3e-03   77: 6.3e-07  119: 2.0e-08  161: 2.3e-09  203: 7.4e-08  245: 6.1e-08  291: 1.0e-03
3  	BAV62976.1	 342	 119.9	 7.9E-37	 7.8E-35 	100.00%	 8	putative TPR repeat-containing protein [Acanthamoeba castellanii mimivirus]	    2: 6.6e-03   36: 4.3e-03   77: 6.3e-07  119: 2.0e-08  161: 2.3e-09  203: 7.4e-08  245: 6.1e-08  291: 1.0e-03
4  	AHJ40425.1	 342	 119.9	 7.9E-37	 7.8E-35 	100.00%	 8	Tpr domain-containing protein [Samba virus]	    2: 6.6e-03   36: 4.3e-03   77: 6.3e-07  119: 2.0e-08  161: 2.3e-09  203: 7.4e-08  245: 6.1e-08  291: 1.0e-03
5  	AKI80583.1	 363	 110.1	 7.2E-34	 7.1E-32 	100.00%	 7	putative TPR repeat-containing protein [Acanthamoeba polyphaga mimivirus]	   36: 6.5e-04   77: 2.1e-07  119: 9.7e-08  182: 2.1e-09  224: 4.3e-06  266: 6.3e-08  312: 1.4e-03
6  	ATZ80332.1	 285	  44.2	 4.9E-14	 4.8E-12 	 99.98%	 4	soluble N-ethylmaleimide-sensitive factor (NSF) attachment protein [Bodo saltans virus]	   26: 3.9e-05   66: 7.2e-05  106: 5.7e-06  146: 2.0e-05
7  	ALA07416.1	 446	  31.4	 3.5E-10	 3.4E-08 	 97.52%	 3	hypothetical protein SECTIM467_71 [Brevibacillus phage SecTim467]	  195: 1.6e-06  233: 2.0e-03  269: 2.0e-06
8  	AFU62029.1	 417	  18.9	 2.1E-06	 2.1E-04 	  7.60%	 2	putative XRE regulator [Streptomyces phage phiHau3]	  175: 3.3e-04  349: 7.0e-03
9  	QCW20866.1	 401	  15.8	 1.8E-05	 1.7E-03 	  1.70%	 2	DNA-binding helix-turn-helix protein [Bacillus phage vB_BthS-TP21T]	  217: 1.1e-05  258: 1.3e-03
10 	AXQ65250.1	 409	  12.6	 1.6E-04	 1.6E-02 	  0.32%	 2	DNA binding protein [Streptomyces phage Thestral]	  158: 3.9e-05  198: 3.3e-03
11 	ALA07415.1	 474	  10.8	 5.7E-04	 5.6E-02 	  0.11%	 1	putative DNA-binding protein [Brevibacillus phage SecTim467]	  198: 5.7e-04
12 	ATI18913.1	 392	   6.5	 1.1E-02	 1.1E+00 	  0.01%	 1	DNA binding protein [Streptomyces phage SqueakyClean]	  151: 1.1e-02
13 	QAY15955.1	 392	   6.5	 1.1E-02	 1.1E+00 	  0.01%	 1	DNA binding protein [Streptomyces phage Janus]	  151: 1.1e-02
