WARNING: unknown options '-m tpr2.8.pp'
Nr.	Sequence	Len	Score	P-value	E-value	Probab	#	Description	pos:score ...
1  	ADL67693.1	 439	 117.7	 3.8E-36	 1.3E-32 	100.00%	 8	helix-turn-helix domain protein [Thermoanaerobacterium thermosaccharolyticum DSM 571]	  119: 9.7e-06  159: 1.4e-07  199: 1.4e-07  239: 1.1e-06  278: 3.4e-08  317: 4.7e-08  357: 2.0e-02  397: 1.9e-06
2  	AST57543.1	 439	 117.1	 5.4E-36	 1.9E-32 	100.00%	 8	DNA-binding protein [Thermoanaerobacterium thermosaccharolyticum]	  119: 9.7e-06  159: 1.7e-07  199: 9.3e-08  239: 1.1e-06  278: 3.4e-08  317: 4.7e-08  357: 2.0e-02  397: 3.4e-06
3  	AZR72305.1	 347	 112.9	 1.0E-34	 3.6E-31 	100.00%	 8	hypothetical protein BBF96_02190 [Anoxybacter fermentans]	    4: 2.1e-05   46: 1.1e-06   85: 1.1e-06  128: 4.1e-08  168: 4.1e-07  208: 3.8e-08  248: 8.0e-03  295: 2.6e-03
4  	QCV56357.1	 446	 109.5	 1.1E-33	 3.8E-30 	100.00%	 7	tetratricopeptide repeat protein [Thermoactinomyces vulgaris]	  119: 2.3e-08  161: 1.2e-06  202: 1.0e-03  242: 8.9e-06  282: 2.3e-08  322: 3.9e-09  362: 2.2e-06
5  	QKI83046.1	 442	 108.3	 2.4E-33	 8.5E-30 	100.00%	 8	helix-turn-helix transcriptional regulator [Kroppenstedtia eburnea]	   80: 1.7e-03  116: 2.5e-06  155: 1.7e-06  196: 2.6e-03  236: 6.2e-05  276: 5.3e-09  318: 2.0e-10  358: 5.8e-06
6  	AUS07819.1	 443	 105.1	 2.3E-32	 8.0E-29 	100.00%	 7	transcriptional regulator [Laceyella sacchari]	  116: 1.0e-08  158: 1.3e-04  199: 8.4e-04  239: 4.2e-04  279: 3.3e-08  319: 1.4e-10  359: 5.0e-07
7  	QKI83338.1	 442	 102.8	 1.1E-31	 3.9E-28 	100.00%	 7	tetratricopeptide repeat protein [Kroppenstedtia eburnea]	  116: 2.8e-07  157: 8.6e-06  198: 2.9e-02  238: 2.8e-05  278: 2.7e-07  318: 1.0e-09  358: 1.5e-08
8  	QKI83256.1	 432	  99.6	 1.1E-30	 3.7E-27 	100.00%	 7	tetratricopeptide repeat protein [Kroppenstedtia eburnea]	  116: 2.2e-06  158: 7.6e-05  199: 4.7e-07  239: 3.0e-04  279: 7.7e-09  319: 1.4e-07  359: 2.6e-06
9  	AAK78933.1	 434	  98.2	 2.7E-30	 9.6E-27 	100.00%	 9	Xre family DNA-binding domain and TPR-repeat-containing protein [Clostridium acetobutylicum ATCC 824]	   75: 3.5e-07  115: 3.6e-03  155: 9.1e-06  197: 2.4e-07  237: 2.2e-07  277: 4.8e-06  316: 2.6e-03  355: 2.9e-04  395: 3.7e-04
10 	ADZ20008.1	 434	  98.2	 2.7E-30	 9.6E-27 	100.00%	 9	Xre family DNA-binding domain and TPR-repeat-containing protein [Clostridium acetobutylicum EA 2018]	   75: 3.5e-07  115: 3.6e-03  155: 9.1e-06  197: 2.4e-07  237: 2.2e-07  277: 4.8e-06  316: 2.6e-03  355: 2.9e-04  395: 3.7e-04
11 	AEI31519.1	 434	  98.2	 2.7E-30	 9.6E-27 	100.00%	 9	Xre family DNA-binding domain-/TPR repeat-containing protein [Clostridium acetobutylicum DSM 1731]	   75: 3.5e-07  115: 3.6e-03  155: 9.1e-06  197: 2.4e-07  237: 2.2e-07  277: 4.8e-06  316: 2.6e-03  355: 2.9e-04  395: 3.7e-04
12 	QKG83307.1	 443	  95.7	 1.5E-29	 5.3E-26 	100.00%	 7	helix-turn-helix transcriptional regulator [Kroppenstedtia pulmonis]	  116: 3.1e-06  159: 1.2e-04  200: 9.8e-04  240: 3.2e-06  280: 8.9e-07  319: 6.7e-09  359: 1.0e-07
13 	ADL52606.1	 434	  95.5	 1.8E-29	 6.2E-26 	100.00%	 9	helix-turn-helix domain protein [Clostridium cellulovorans 743B]	   75: 4.8e-05  115: 2.5e-05  155: 1.4e-05  197: 1.2e-04  237: 6.9e-07  277: 1.7e-07  316: 1.0e-03  355: 4.3e-03  395: 4.9e-06
14 	CDM68478.1	 437	  94.2	 4.5E-29	 1.6E-25 	100.00%	 9	Hypothetical protein CM240_1319 [Clostridium bornimense]	   75: 4.9e-06  115: 2.5e-06  155: 1.4e-05  197: 3.0e-06  237: 1.8e-06  277: 2.3e-06  316: 1.7e-02  355: 1.2e-02  395: 3.3e-05
