WARNING: unknown options '-m tpr2.8.pp'
Nr.	Sequence	Len	Score	P-value	E-value	Probab	#	Description	pos:score ...
1  	VDN46468.1	 416	 211.6	 2.1E-64	 1.2E-60 	100.00%	10	conserved exported protein of unknown function [Petrocella atlantisensis]	   27: 1.2e-07   61: 8.6e-10   95: 1.4e-10  135: 3.5e-07  169: 2.2e-10  203: 1.5e-09  237: 3.7e-05  271: 1.6e-07  337: 1.2e-08  371: 1.3e-07
2  	CDI40693.1	 404	 194.0	 4.1E-59	 2.3E-55 	100.00%	 9	Tetratricopeptide TPR_1 repeat-containing protein [Tepidanaerobacter acetatoxydans Re1]	   60: 2.8e-09   94: 1.8e-04  129: 1.7e-08  168: 1.8e-09  202: 8.8e-10  236: 1.2e-08  270: 4.0e-10  304: 1.1e-10  339: 5.8e-06
3  	AUM98612.1	 303	 180.9	 3.4E-55	 2.0E-51 	100.00%	 8	hypothetical protein RSJ13_06200 [Clostridium botulinum]	    6: 2.7e-04   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 4.5e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
4  	AUN17230.1	 303	 180.9	 3.4E-55	 2.0E-51 	100.00%	 8	hypothetical protein B2M06_06380 [Clostridium botulinum]	    6: 2.7e-04   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 4.5e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
5  	ADG82788.1	 345	 179.8	 7.4E-55	 4.2E-51 	100.00%	 8	TPR repeat-containing protein [Thermincola potens JR]	   27: 1.8e-10   61: 2.1e-10   95: 5.8e-07  129: 7.4e-11  163: 3.1e-09  197: 8.8e-04  231: 1.2e-11  265: 1.6e-06
6  	ACA54794.1	 308	 179.6	 8.8E-55	 5.1E-51 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum A3 str. Loch Maree]	   11: 2.3e-04   47: 5.4e-10   81: 2.4e-12  115: 2.4e-09  149: 1.4e-06  183: 1.0e-07  217: 7.1e-08  251: 1.4e-10
7  	CBZ03028.1	 303	 179.3	 1.1E-54	 6.0E-51 	100.00%	 8	fog: TPR repeat [Clostridium botulinum H04402 065]	    6: 2.7e-04   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
8  	ABS42343.1	 303	 179.2	 1.2E-54	 6.6E-51 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum F str. Langeland]	    6: 1.1e-03   42: 1.5e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
9  	ADF98950.1	 303	 179.2	 1.2E-54	 6.6E-51 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum F str. 230613]	    6: 1.1e-03   42: 1.5e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
10 	ACA46636.1	 303	 178.7	 1.6E-54	 9.3E-51 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum B1 str. Okra]	    6: 1.1e-03   42: 2.1e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
11 	APF26852.1	 304	 178.4	 1.9E-54	 1.1E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium sporogenes]	    6: 6.6e-04   42: 2.6e-10   76: 2.4e-12  110: 2.5e-09  144: 3.1e-06  178: 1.8e-06  212: 3.0e-08  246: 1.8e-11
12 	APQ75029.1	 303	 178.5	 1.9E-54	 1.1E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 4.5e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
13 	CAL82690.1	 303	 177.8	 3.0E-54	 1.7E-50 	100.00%	 8	conserved hypothetical protein [Clostridium botulinum A str. ATCC 3502]	    6: 1.1e-03   42: 8.2e-10   76: 1.7e-12  110: 2.4e-09  144: 4.5e-07  178: 1.5e-07  212: 1.0e-07  246: 1.9e-10
14 	QGT43011.1	 303	 177.8	 3.0E-54	 1.7E-50 	100.00%	 8	TPR repeat-containing protein YrrB [Clostridium botulinum]	    6: 1.1e-03   42: 8.2e-10   76: 1.7e-12  110: 2.4e-09  144: 4.5e-07  178: 1.5e-07  212: 1.0e-07  246: 1.9e-10
15 	ACO84347.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum A2 str. Kyoto]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
16 	APC79271.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
17 	APC83458.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
18 	APH22076.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
19 	APQ69411.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
20 	AUN06313.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	hypothetical protein RSJ14_06220 [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
21 	AUN10092.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	hypothetical protein RSJ6_06115 [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
22 	AUN24920.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	hypothetical protein RSJ21_06560 [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
23 	AXG95511.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
24 	QMU01603.1	 303	 177.6	 3.4E-54	 2.0E-50 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
25 	AVQ48094.1	 303	 177.5	 3.7E-54	 2.1E-50 	100.00%	 8	hypothetical protein C7M58_01580 [Clostridium botulinum]	    6: 6.6e-04   42: 3.6e-10   76: 1.7e-12  110: 2.9e-09  144: 1.3e-07  178: 1.7e-06  212: 1.5e-07  246: 1.5e-10
26 	ABS33568.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum A str. ATCC 19397]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
27 	ABS38405.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum A str. Hall]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
28 	BAQ13150.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	hypothetical protein CBB2_1040 [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
29 	APH18137.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
30 	APQ95369.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
31 	AUM87284.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	hypothetical protein RSJ15_06110 [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
32 	AUM90849.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	hypothetical protein RSJ5_06075 [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
33 	AUN21134.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	hypothetical protein RSJ22_06685 [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
34 	AWB17057.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
35 	AWB29854.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
36 	QRC53871.1	 303	 177.3	 4.3E-54	 2.4E-50 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 1.7e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
37 	AJD27520.1	 303	 177.1	 5.0E-54	 2.9E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum CDC_297]	    6: 4.0e-04   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 1.8e-06  178: 1.0e-07  212: 2.1e-07  246: 1.7e-10
38 	AUN02733.1	 303	 177.1	 5.0E-54	 2.9E-50 	100.00%	 8	hypothetical protein RSJ19_07330 [Clostridium botulinum]	    6: 4.0e-04   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 1.8e-06  178: 1.0e-07  212: 2.1e-07  246: 1.7e-10
39 	AEY67021.1	 292	 176.9	 5.7E-54	 3.3E-50 	100.00%	 7	tetratricopeptide repeat protein [Clostridium sp. BNL1100]	   29: 6.9e-10   63: 7.5e-13   97: 8.6e-10  131: 1.2e-11  165: 3.3e-07  199: 2.6e-07  233: 1.2e-07
40 	APQ74018.1	 303	 176.9	 5.7E-54	 3.3E-50 	100.00%	 8	tetratricopeptide repeat family protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 1.4e-06  178: 1.0e-07  212: 1.0e-07  246: 1.9e-10
41 	QRI54702.1	 303	 176.7	 6.3E-54	 3.6E-50 	100.00%	 8	tetratricopeptide repeat protein [Clostridium botulinum]	    6: 1.1e-03   42: 5.4e-10   76: 2.4e-12  110: 2.4e-09  144: 8.3e-07  178: 1.0e-07  212: 1.0e-07  246: 3.5e-10
